idx,Major,Degree,NumSalariesReported,Avg,Max,Min,StDev,25th,Median,75th,Semester,Year,College
545,International Studies,Bachelor,12,46615.0,56000.0,30000.0,+/- 7359,45000.0,49638.0,51276.0,Fall,2017,College of Liberal Arts
546,Music,Bachelor,1,51276.0,51276.0,51276.0,+/- 0,51276.0,51276.0,51276.0,Fall,2017,College of Liberal Arts
547,Philosophy,Bachelor,1,30000.0,30000.0,30000.0,+/- 0,30000.0,30000.0,30000.0,Fall,2017,College of Liberal Arts
548,Political Science,Bachelor,10,45255.0,60000.0,20000.0,+/- 13030,40000.0,48138.0,57500.0,Fall,2017,College of Liberal Arts
549,Psychology,Bachelor,16,39875.0,51000.0,20000.0,+/- 9986,35000.0,40000.0,50000.0,Fall,2017,College of Liberal Arts
550,Sociology,Bachelor,7,36000.0,60000.0,20000.0,+/- 14617,26500.0,30000.0,52500.0,Fall,2017,College of Liberal Arts
551,Spanish,Bachelor,3,46167.0,50000.0,40000.0,+/- 5393,46375.0,48500.0,50000.0,Fall,2017,College of Liberal Arts
552,Telecommunication MediaStudies,Bachelor,1,45000.0,45000.0,45000.0,+/- 0,45000.0,45000.0,45000.0,Fall,2017,College of Liberal Arts
553,Theatre Arts,Bachelor,1,34000.0,34000.0,34000.0,+/- 0,34000.0,34000.0,34000.0,Fall,2017,College of Liberal Arts
554,University Studies,Bachelor,1,38000.0,38000.0,38000.0,+/- 0,38000.0,38000.0,38000.0,Fall,2017,College of Liberal Arts
555,Accounting,Bachelor,10,55950.0,70000.0,50000.0,+/- 6274,52000.0,54500.0,60500.0,Fall,2017,College of Mays Business School
556,Accounting,Master,2,55500.0,56000.0,55000.0,+/- 707,55500.0,55500.0,56000.0,Fall,2017,College of Mays Business School
557,Accounting-PPA,Master,9,48111.0,56000.0,20000.0,+/- 14585,54375.0,55500.0,55875.0,Fall,2017,College of Mays Business School
558,Business Administration,Master,6,92917.0,120000.0,67500.0,+/- 18424,84500.0,90000.0,113000.0,Fall,2017,College of Mays Business School
559,Business Honors,Bachelor,2,64000.0,70000.0,58000.0,+/- 8485,64000.0,64000.0,70000.0,Fall,2017,College of Mays Business School
560,Finance,Bachelor,20,65460.0,110000.0,44000.0,+/- 15955,59000.0,61000.0,75000.0,Fall,2017,College of Mays Business School
561,Financial Management,Master,4,74750.0,80000.0,70000.0,+/- 4573,72000.0,74500.0,80000.0,Fall,2017,College of Mays Business School
562,Financial Management-PPA,Master,3,55667.0,56500.0,55000.0,+/- 764,55375.0,55500.0,56500.0,Fall,2017,College of Mays Business School
563,Human Resource Management,Master,14,74464.0,92000.0,40000.0,+/- 11926,72650.0,76000.0,80000.0,Fall,2017,College of Mays Business School
564,Land Economics & Real Estate,Master,10,65650.0,85000.0,50000.0,+/- 10193,60000.0,66000.0,73750.0,Fall,2017,College of Mays Business School
565,Management,Bachelor,11,46364.0,57000.0,31000.0,+/- 7903,44250.0,48000.0,52250.0,Fall,2017,College of Mays Business School
566,Management,Master,8,81250.0,86000.0,77000.0,+/- 3151,80000.0,81000.0,85000.0,Fall,2017,College of Mays Business School
567,Management Information Systems,Bachelor,15,64107.0,79000.0,36000.0,+/- 10257,62750.0,63600.0,70625.0,Fall,2017,College of Mays Business School
568,Management Information Systems-PPA,Master,2,68000.0,69000.0,67000.0,+/- 1414,68000.0,68000.0,69000.0,Fall,2017,College of Mays Business School
569,Marketing,Bachelor,17,50529.0,70000.0,25000.0,+/- 11478,43625.0,52000.0,60750.0,Fall,2017,College of Mays Business School
570,Marketing,Master,4,87000.0,125000.0,60000.0,+/- 29428,68000.0,81500.0,125000.0,Fall,2017,College of Mays Business School
571,Supply Chain Management,Bachelor,20,58500.0,72500.0,40000.0,+/- 9778,50000.0,60000.0,68000.0,Fall,2017,College of Mays Business School
572,University Studies,Bachelor,7,47286.0,58000.0,25000.0,+/- 11456,44250.0,50000.0,56500.0,Fall,2017,College of Mays Business School
573,Medical Sciences,Doctorate,2,48500.0,50000.0,47000.0,+/- 2121,48500.0,48500.0,50000.0,Fall,2017,College of Medicine
574,Nursing,Bachelor,3,51667.0,55000.0,50000.0,+/- 2887,50000.0,50000.0,55000.0,Fall,2017,College of Nursing
575,Public Health,Bachelor,1,75000.0,75000.0,75000.0,+/- 0,75000.0,75000.0,75000.0,Fall,2017,College of Public Health
576,Applied Mathematical Sciences,Bachelor,12,57550.0,68000.0,30000.0,+/- 10350,57000.0,60000.0,64500.0,Fall,2017,College of Science
577,Biology,Bachelor,2,41500.0,53000.0,30000.0,+/- 16263,41500.0,41500.0,53000.0,Fall,2017,College of Science
578,Biology,Doctorate,3,45667.0,53000.0,36000.0,+/- 8737,45000.0,48000.0,53000.0,Fall,2017,College of Science
579,Chemistry,Bachelor,3,47500.0,80000.0,20000.0,+/- 30311,36875.0,42500.0,80000.0,Fall,2017,College of Science
580,Chemistry,Doctorate,4,54925.0,86000.0,41000.0,+/- 20913,44700.0,46350.0,86000.0,Fall,2017,College of Science
581,Mathematics,Bachelor,4,46750.0,65000.0,25000.0,+/- 16701,45000.0,48500.0,65000.0,Fall,2017,College of Science
582,Physics,Bachelor,1,85000.0,85000.0,85000.0,+/- 0,85000.0,85000.0,85000.0,Fall,2017,College of Science
583,Statistics,Master,6,103546.0,180000.0,45000.0,+/- 51669,70638.0,107500.0,155000.0,Fall,2017,College of Science
584,Biomedical Sciences,Bachelor,7,37857.0,100000.0,20000.0,+/- 29283,23000.0,25000.0,62500.0,Fall,2017,College of Veterinary Med & Biomedical Sc
585,Biomedical Sciences,Master,2,25000.0,30000.0,20000.0,+/- 7071,25000.0,25000.0,30000.0,Fall,2017,College of Veterinary Med & Biomedical Sc
586,University Studies,Bachelor,1,71500.0,71500.0,71500.0,+/- 0,71500.0,71500.0,71500.0,Fall,2017,College of Veterinary Med & Biomedical Sc
587,Ag Communications & Journalism,Bachelor,8,36250.0,45000.0,23000.0,+/- 7206,33000.0,38500.0,42000.0,Spring,2017,College of Agriculture & Life Sciences
588,Ag Leadership & Development,Bachelor,27,55864.0,300000.0,24000.0,+/- 49977,41500.0,48000.0,52750.0,Spring,2017,College of Agriculture & Life Sciences
589,Agribusiness,Bachelor,13,51192.0,70000.0,40000.0,+/- 8845,47375.0,50000.0,56000.0,Spring,2017,College of Agriculture & Life Sciences
590,Agricultural Economics,Bachelor,34,49176.0,80000.0,22000.0,+/- 12300,41500.0,48000.0,56350.0,Spring,2017,College of Agriculture & Life Sciences
591,Agricultural Science,Bachelor,3,56000.0,61000.0,50000.0,+/- 5568,55250.0,57000.0,61000.0,Spring,2017,College of Agriculture & Life Sciences
592,Agricultural Systems Mgmt,Bachelor,14,48841.0,66000.0,36000.0,+/- 8349,44000.0,48750.0,54500.0,Spring,2017,College of Agriculture & Life Sciences
593,Agronomy,Doctorate,2,64000.0,78000.0,50000.0,+/- 19799,64000.0,64000.0,78000.0,Spring,2017,College of Agriculture & Life Sciences
594,Animal Science,Bachelor,6,45379.0,60000.0,35000.0,+/- 10045,38000.0,45500.0,55638.0,Spring,2017,College of Agriculture & Life Sciences
595,Animal Science,Master,2,52500.0,55000.0,50000.0,+/- 3536,52500.0,52500.0,55000.0,Spring,2017,College of Agriculture & Life Sciences
596,Biochemistry,Bachelor,1,40000.0,40000.0,40000.0,+/- 0,40000.0,40000.0,40000.0,Spring,2017,College of Agriculture & Life Sciences
597,Bioenvironmental Sciences,Bachelor,4,42250.0,51000.0,35000.0,+/- 8461,35000.0,41500.0,51000.0,Spring,2017,College of Agriculture & Life Sciences
598,Biological & Agricultural Engr,Bachelor,6,57750.0,75000.0,44000.0,+/- 10553,53750.0,58750.0,67500.0,Spring,2017,College of Agriculture & Life Sciences
599,Entomology,Bachelor,2,47000.0,52000.0,42000.0,+/- 7071,47000.0,47000.0,52000.0,Spring,2017,College of Agriculture & Life Sciences
