"College of Agriculture and Life Sciences","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Master","","67","$82,758.00","$145,000.00","$30,000.00","+/- 22690","$62,000.00","$87,300.00","$100,000.00"
"Doctorate","","18","$74,806.00","$117,700.00","$40,000.00","+/- 26066","$52,250.00","$73,500.00","$93,000.00"
"College of General Studies","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"General Studies","Bachelor","2","$56,025.00","$63,000.00","$49,050.00","+/- 9864","$56,025.00","$56,025.00","$63,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","2","$56,025.00","$63,000.00","$49,050.00","+/- 9864","$56,025.00","$56,025.00","$63,000.00"
"Master","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"Doctorate","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"College of Geosciences","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Environmental Studies","Bachelor","5","$54,600.00","$75,000.00","$26,000.00","+/- 18022","$54,000.00","$60,000.00","$71,250.00"
"Geography","Bachelor","1","$40,000.00","$40,000.00","$40,000.00","+/- 0","$40,000.00","$40,000.00","$40,000.00"
"Geology","Master","2","$112,500.00","$115,000.00","$110,000.00","+/- 3536","$112,500.00","$112,500.00","$115,000.00"
"Geophysics","Bachelor","1","$83,000.00","$83,000.00","$83,000.00","+/- 0","$83,000.00","$83,000.00","$83,000.00"
"Meteorology","Bachelor","2","$36,833.00","$49,666.00","$24,000.00","+/- 18149","$36,833.00","$36,833.00","$49,666.00"
"Univ. Studies - Geography","Bachelor","1","$60,000.00","$60,000.00","$60,000.00","+/- 0","$60,000.00","$60,000.00","$60,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","10","$52,967.00","$83,000.00","$24,000.00","+/- 19097","$44,833.00","$56,000.00","$67,500.00"
"Master","","2","$112,500.00","$115,000.00","$110,000.00","+/- 3536","$112,500.00","$112,500.00","$115,000.00"
"Doctorate","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"College of Liberal Arts","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"American Studies","Bachelor","2","$58,500.00","$62,000.00","$55,000.00","+/- 4950","$58,500.00","$58,500.00","$62,000.00"
"Communication","Bachelor","23","$38,739.00","$50,000.00","$26,000.00","+/- 6039","$36,000.00","$40,000.00","$41,000.00"
"Economics","Bachelor","23","$48,985.00","$80,000.00","$25,000.00","+/- 13385","$44,750.00","$45,000.00","$51,250.00"
"English","Bachelor","6","$40,500.00","$55,000.00","$29,000.00","+/- 10821","$32,500.00","$39,500.00","$52,500.00"
"History","Bachelor","5","$43,633.00","$51,500.00","$30,000.00","+/- 8495","$42,750.00","$45,000.00","$51,041.50"
"International Studies","Bachelor","10","$47,600.00","$58,000.00","$38,000.00","+/- 5866","$45,000.00","$49,666.00","$50,500.00"
"Political Science","Bachelor","11","$48,061.00","$65,000.00","$25,000.00","+/- 13053","$40,000.00","$50,000.00","$60,750.00"
"Psychology","Bachelor","14","$40,286.00","$60,000.00","$24,000.00","+/- 11519","$32,500.00","$38,500.00","$52,500.00"
"Psychology","Doctorate","2","$62,500.00","$82,000.00","$43,000.00","+/- 27577","$62,500.00","$62,500.00","$82,000.00"
"Sociology","Bachelor","3","$65,555.00","$105,000.00","$42,000.00","+/- 34374","$47,749.50","$49,666.00","$105,000.00"
"Spanish","Bachelor","1","$40,000.00","$40,000.00","$40,000.00","+/- 0","$40,000.00","$40,000.00","$40,000.00"
"Telecom Media Studies","Bachelor","4","$49,450.00","$56,000.00","$41,800.00","+/- 7119","$45,000.00","$50,000.00","$56,000.00"
"University Studies","Bachelor","1","$33,000.00","$33,000.00","$33,000.00","+/- 0","$33,000.00","$33,000.00","$33,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","103","$44,971.00","$105,000.00","$24,000.00","+/- 12389","$38,750.00","$45,000.00","$50,000.00"
"Master","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"Doctorate","","2","$62,500.00","$82,000.00","$43,000.00","+/- 27577","$62,500.00","$62,500.00","$82,000.00"
"College of Mays Business School - Graduate","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Accounting","Master","3","$58,167.00","$65,000.00","$54,500.00","+/- 5923","$54,875.00","$55,000.00","$65,000.00"
"Management","Master","5","$81,800.00","$91,000.00","$70,000.00","+/- 9257","$77,250.00","$81,000.00","$91,000.00"
"Management Info Systems","Master","2","$63,150.00","$69,300.00","$57,000.00","+/- 8697","$63,150.00","$63,150.00","$69,300.00"
"Marketing","Master","8","$52,750.00","$70,000.00","$33,000.00","+/- 12992","$42,000.00","$55,000.00","$65,000.00"
"Masters of Business (MBA)","Master","11","$107,591.00","$122,500.00","$95,500.00","+/- 10634","$99,500.00","$105,000.00","$120,000.00"
"Masters of Management-HR","Master","8","$78,844.00","$91,000.00","$71,250.00","+/- 7011","$75,000.00","$75,000.00","$87,500.00"
"Masters of Real Estate","Master","4","$67,625.00","$100,000.00","$55,000.00","+/- 21700","$55,500.00","$57,750.00","$100,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"Master","","41","$78,452.00","$122,500.00","$33,000.00","+/- 23136","$60,000.00","$75,000.00","$97,375.00"
"Doctorate","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"College of Mays Business School - Prof Program","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Prof Program in Accntng.-Audit","Master","3","$55,167.00","$56,500.00","$54,000.00","+/- 1258","$54,750.00","$55,000.00","$56,500.00"
"Prof Program in Finance","Master","2","$75,000.00","$85,000.00","$65,000.00","+/- 14142","$75,000.00","$75,000.00","$85,000.00"
"Prof Program in MIS","Master","2","$56,500.00","$57,000.00","$56,000.00","+/- 707","$56,500.00","$56,500.00","$57,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"Master","","7","$61,214.00","$85,000.00","$54,000.00","+/- 11090","$55,750.00","$56,500.00","$70,000.00"
"Doctorate","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"College of Mays Business School - Undergraduate","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Accounting","Bachelor","9","$54,444.00","$61,000.00","$48,000.00","+/- 3844","$53,250.00","$55,000.00","$56,750.00"
"Business Honors","Bachelor","3","$68,333.00","$75,000.00","$60,000.00","+/- 7638","$67,500.00","$70,000.00","$75,000.00"
"Finance","Bachelor","20","$62,100.00","$85,000.00","$37,000.00","+/- 12117","$56,000.00","$61,000.00","$70,000.00"
"Info & Ops Mgmt - MIS","Bachelor","6","$65,333.00","$85,000.00","$37,000.00","+/- 16330","$62,500.00","$67,500.00","$80,000.00"
"Info & Ops Mgmt -Supply Chain Management","Bachelor","22","$61,777.00","$78,000.00","$45,000.00","+/- 7714","$58,000.00","$60,000.00","$67,500.00"
"Management","Bachelor","13","$53,846.00","$70,000.00","$40,000.00","+/- 11276","$43,500.00","$54,000.00","$65,000.00"
"Marketing","Bachelor","19","$47,000.00","$70,000.00","$20,000.00","+/- 14360","$36,000.00","$45,000.00","$60,000.00"
"Univ. Studies - Business","Bachelor","4","$44,916.00","$50,000.00","$40,000.00","+/- 5679","$40,000.00","$44,833.00","$50,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","96","$56,883.00","$85,000.00","$20,000.00","+/- 12747","$50,000.00","$58,000.00","$65,000.00"
"Master","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"Doctorate","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"College of Science","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Applied Math Sciences","Bachelor","4","$50,875.00","$60,500.00","$45,000.00","+/- 7443","$45,000.00","$49,000.00","$60,500.00"
"Biology","Bachelor","3","$56,667.00","$80,000.00","$40,000.00","+/- 20817","$47,500.00","$50,000.00","$80,000.00"
"Chemistry","Bachelor","4","$46,173.00","$50,000.00","$35,360.00","+/- 7210","$49,666.00","$49,666.00","$50,000.00"
"Chemistry","Doctorate","4","$50,500.00","$74,000.00","$41,000.00","+/- 15716","$43,000.00","$43,500.00","$74,000.00"
"Mathematics","Bachelor","1","$25,000.00","$25,000.00","$25,000.00","+/- 0","$25,000.00","$25,000.00","$25,000.00"
"Microbiology","Bachelor","1","$75,000.00","$75,000.00","$75,000.00","+/- 0","$75,000.00","$75,000.00","$75,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","13","$50,630.00","$80,000.00","$25,000.00","+/- 14800","$45,000.00","$49,666.00","$58,625.00"
"Master","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"Doctorate","","4","$50,500.00","$74,000.00","$41,000.00","+/- 15716","$43,000.00","$43,500.00","$74,000.00"
"College of Veterinary Medicine and Biomedical Sciences","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Biomedical Science","Bachelor","3","$38,333.00","$45,000.00","$30,000.00","+/- 7638","$37,500.00","$40,000.00","$45,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","3","$38,333.00","$45,000.00","$30,000.00","+/- 7638","$37,500.00","$40,000.00","$45,000.00"
"Master","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"Doctorate","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
