"College of Agriculture & Life Sciences","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Industrial Engineering","Bachelor","3","$71,200.00","$80,000.00","$63,600.00","+/- 8266","$68,400.00","$70,000.00","$80,000.00"
"Industrial Engineering","Doctorate","2","$99,000.00","$110,000.00","$88,000.00","+/- 15556","$99,000.00","$99,000.00","$110,000.00"
"Industrial Engineering","Master","2","$90,000.00","$100,000.00","$80,000.00","+/- 14142","$90,000.00","$90,000.00","$100,000.00"
"Mechanical Engineering","Bachelor","12","$71,075.00","$98,400.00","$52,500.00","+/- 13063","$65,000.00","$67,500.00","$78,000.00"
"Mechanical Engineering","Doctorate","3","$65,333.00","$92,000.00","$50,000.00","+/- 23180","$53,000.00","$54,000.00","$92,000.00"
"Mechanical Engineering","Master","11","$74,857.00","$95,000.00","$40,000.00","+/- 16308","$75,500.00","$77,000.00","$87,750.00"
"Nuclear Engineering","Bachelor","3","$55,425.00","$65,000.00","$50,000.00","+/- 8316","$50,957.00","$51,276.00","$65,000.00"
"Petroleum Engineering","Doctorate","2","$70,000.00","$90,000.00","$50,000.00","+/- 28284","$70,000.00","$70,000.00","$90,000.00"
"Petroleum Engineering","Master","5","$115,200.00","$201,000.00","$72,000.00","+/- 50928","$91,250.00","$92,000.00","$180,750.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","46","$65,495.00","$110,000.00","$45,000.00","+/- 13908","$55,500.00","$64,500.00","$72,500.00"
"Master","","30","$80,814.00","$201,000.00","$40,000.00","+/- 28211","$65,000.00","$77,000.00","$90,500.00"
"Doctorate","","17","$74,465.00","$116,000.00","$47,000.00","+/- 24625","$50,000.00","$73,000.00","$94,250.00"
"College of Geosciences","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Environmental Studies","Bachelor","2","$41,000.00","$42,000.00","$40,000.00","+/- 1414","$41,000.00","$41,000.00","$42,000.00"
"Geography","Bachelor","1","$35,000.00","$35,000.00","$35,000.00","+/- 0","$35,000.00","$35,000.00","$35,000.00"
"Geology","Bachelor","3","$50,400.00","$60,000.00","$31,200.00","+/- 16628","$52,800.00","$60,000.00","$60,000.00"
"Oceanography","Doctorate","2","$59,500.00","$65,000.00","$54,000.00","+/- 7778","$59,500.00","$59,500.00","$65,000.00"
"Oceanography","Master","2","$48,500.00","$50,000.00","$47,000.00","+/- 2121","$48,500.00","$48,500.00","$50,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","6","$44,700.00","$60,000.00","$31,200.00","+/- 12441","$37,500.00","$41,000.00","$60,000.00"
"Master","","2","$48,500.00","$50,000.00","$47,000.00","+/- 2121","$48,500.00","$48,500.00","$50,000.00"
"Doctorate","","2","$59,500.00","$65,000.00","$54,000.00","+/- 7778","$59,500.00","$59,500.00","$65,000.00"
"College of Liberal Arts","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Anthropology","Bachelor","3","$52,092.00","$70,000.00","$35,000.00","+/- 17514","$47,207.00","$51,276.00","$70,000.00"
