"College of Agriculture & Life Sciences","","","","","","","","",""
"University Studies","Bachelor","9","$43,778.00","$75,000.00","$22,000.00","+/- 15714","$36,500.00","$45,000.00","$51,500.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","126","$46,510.00","$151,000.00","$22,000.00","+/- 14002","$40,000.00","$48,000.00","$52,000.00"
"Master","","45","$49,102.00","$105,000.00","$24,000.00","+/- 15262","$40,000.00","$50,000.00","$55,750.00"
"Doctorate","","3","$98,000.00","$140,000.00","$64,000.00","+/- 38626","$83,500.00","$90,000.00","$140,000.00"
"College of Engineering","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Aerospace Engineering","Bachelor","21","$64,038.00","$88,000.00","$51,276.00","+/- 9017","$60,000.00","$63,000.00","$69,500.00"
"Biomedical Engineering","Bachelor","7","$64,000.00","$67,000.00","$60,000.00","+/- 2291","$63,375.00","$63,500.00","$66,250.00"
"Biomedical Engineering","Doctorate","2","$72,500.00","$105,000.00","$40,000.00","+/- 45962","$72,500.00","$72,500.00","$105,000.00"
"Chemical Engineering","Bachelor","34","$74,096.00","$105,000.00","$43,000.00","+/- 11681","$70,000.00","$73,000.00","$80,800.00"
"Chemical Engineering","Doctorate","2","$73,000.00","$83,000.00","$63,000.00","+/- 14142","$73,000.00","$73,000.00","$83,000.00"
"Civil Engineering","Bachelor","53","$60,577.00","$93,000.00","$50,000.00","+/- 8192","$57,000.00","$59,000.00","$61,875.00"
"Civil Engineering","Doctorate","2","$59,000.00","$70,000.00","$48,000.00","+/- 15556","$59,000.00","$59,000.00","$70,000.00"
"Civil Engineering","Master","10","$64,450.00","$71,500.00","$60,000.00","+/- 4017","$62,000.00","$62,500.00","$69,000.00"
"Computer Engineering - CECN","Bachelor","17","$72,734.00","$100,000.00","$50,000.00","+/- 13744","$65,500.00","$70,000.00","$84,250.00"
"Computer Engineering - CEEN","Bachelor","4","$59,250.00","$67,000.00","$45,000.00","+/- 9946","$60,000.00","$62,500.00","$67,000.00"
"Computer Engineering - CEEN","Doctorate","2","$114,000.00","$118,000.00","$110,000.00","+/- 5657","$114,000.00","$114,000.00","$118,000.00"
"Computer Engineering - CEEN","Master","9","$100,111.00","$118,000.00","$85,000.00","+/- 10902","$91,250.00","$100,000.00","$108,000.00"
"Computer Science","Bachelor","42","$74,758.00","$108,000.00","$32,000.00","+/- 19433","$63,750.00","$69,500.00","$89,250.00"
"Computer Science","Master","5","$101,600.00","$115,000.00","$70,000.00","+/- 18036","$105,750.00","$108,000.00","$113,750.00"
"Electrical Engineering","Bachelor","25","$71,766.00","$99,000.00","$51,276.00","+/- 11891","$65,000.00","$70,500.00","$80,000.00"
"Electrical Engineering","Doctorate","8","$100,688.00","$164,000.00","$30,000.00","+/- 39711","$85,500.00","$108,000.00","$120,000.00"
